loc_rowid,tfopwg_disp,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,pmrapos,pmraneg,pmdecpos,pmdecneg,tranmidpos,tranmidneg,orbperpos,orbperneg,trandurhpos,trandurhneg,trandepos,trandepneg,radepos,radeneg,insolpos,insolneg,eqtpos,eqtneg,tmagpos,tmagneg,distpos,distneg,teffpos,teffneg,radpos,radneg
5931,FP,0.993,0.039,-0.039,0,-1.698,0.043,-0.043,0,2459847.835,0.002943,-0.002943,0,2.7649802,0.0006825,-0.0006825,0,1.659,0.516,-0.516,0,3575,356.104,-356.104,0,10.4307,0.747897,-0.747897,0,1119.71,0,0,0,1611,0,0,0,11.8563,0.007,-0.007,0,873.578,19.013,-19.013,0,7776,122.7,-122.7,0,1.78,0.06,-0.06,0,1.032,0.954,-1.655,-1.741,2459847.838,2459847.832,2.7656627,2.7642977,2.175,1.143,3931.104,3218.896,11.178597,9.682803,1119.71,1119.71,1611,1611,11.8633,11.8493,892.591,854.565,7898.7,7653.3,1.84,1.72
5932,PC,0.646,0.051,-0.051,0,-6.02,0.03,-0.03,0,2459848.402,0.008155,-0.008155,0,4.7783263,0.0028033,-0.0028033,0,5.374,2.38,-2.38,0,5107,906.78,-906.78,0,13.2499,1.82631,-1.82631,0,1511.43,0,0,0,1737,0,0,0,12.8026,0.007,-0.007,0,922.871,24.6375,-24.6375,0,5622,127.8,-127.8,0,2,0.12,-0.12,0,0.697,0.595,-5.99,-6.05,2459848.411,2459848.394,4.7811296,4.775523,7.754,2.994,6013.78,4200.22,15.07621,11.42359,1511.43,1511.43,1737,1737,12.8096,12.7956,947.5085,898.2335,5749.8,5494.2,2.12,1.88
5933,PC,-9.593,0.025,-0.025,0,-4.136,0.027,-0.027,0,2459840.157,0.003839,-0.003839,0,8.7311119,0.0000502,-0.0000502,0,4.4,0.554,-0.554,0,4827,294.306,-294.306,0,11.1752,0.693972,-0.693972,0,235.614,0,0,0,1091,0,0,0,12.9591,0.019,-0.019,0,912.735,11.4375,-11.4375,0,6047,162.1,-162.1,0,1.69,0.08,-0.08,0,-9.568,-9.618,-4.109,-4.163,2459840.161,2459840.153,8.7311621,8.7310617,4.954,3.846,5121.306,4532.694,11.869172,10.481228,235.614,235.614,1091,1091,12.9781,12.9401,924.1725,901.2975,6209.1,5884.9,1.77,1.61
5934,PC,-9.46,0.071,-0.071,0,-27.432,0.072,-0.072,0,2459847.822,0.000589,-0.000589,0,3.6153701,0.0001742,-0.0001742,0,2.714,0.33,-0.33,0,14305,476.574,-476.574,0,13.6892,0.81267,-0.81267,0,350.5,0,0,0,1205,0,0,0,11.8836,0.006,-0.006,0,334.216,6.2915,-6.2915,0,5516,129.2,-129.2,0,1.13,0.06,-0.06,0,-9.389,-9.531,-27.36,-27.504,2459847.822,2459847.821,3.6155443,3.6151959,3.044,2.384,14781.574,13828.426,14.50187,12.87653,350.5,350.5,1205,1205,11.8896,11.8776,340.5075,327.9245,5645.2,5386.8,1.19,1.07
5935,PC,-4.519,0.026,-0.026,0,-5.768,0.025,-0.025,0,2459880.18,0.003662,-0.003662,0,6.3720834,0.0000302,-0.0000302,0,1.322,0.481,-0.481,0,5659,874.164,-874.164,0,12.1724,1.12746,-1.12746,0,58.7935,0,0,0,771,0,0,0,12.7875,0.013,-0.013,0,774.276,10.5265,-10.5265,0,6390,141,-141,0,1.5,0.07,-0.07,0,-4.493,-4.545,-5.743,-5.793,2459880.184,2459880.177,6.3721136,6.3720532,1.803,0.841,6533.164,4784.836,13.29986,11.04494,58.7935,58.7935,771,771,12.8005,12.7745,784.8025,763.7495,6531,6249,1.57,1.43
5936,FP,-5.735,0.04,-0.04,0,-0.823,0.039,-0.039,0,2459880.954,0.001455,-0.001455,0,1.4252334,0.0000028,-0.0000028,0,1.673,0.261,-0.261,0,6901,362.714,-362.714,0,10.7664,0.657638,-0.657638,0,1265.88,0,0,0,1661,0,0,0,12.4033,0.017,-0.017,0,543.454,8.5685,-8.5685,0,6033,167.1,-167.1,0,1.35,0.07,-0.07,0,-5.695,-5.775,-0.784,-0.862,2459880.955,2459880.952,1.4252362,1.4252306,1.934,1.412,7263.714,6538.286,11.424038,10.108762,1265.88,1265.88,1661,1661,12.4203,12.3863,552.0225,534.8855,6200.1,5865.9,1.42,1.28
5937,PC,2.029,0.03,-0.03,0,-1.635,0.029,-0.029,0,2459875.81,0.00424,-0.00424,0,5.5133822,0.0000442,-0.0000442,0,3.601,0.803,-0.803,0,7833,656.224,-656.224,0,12.462,0,0,0,363.901,0,0,0,1216,0,0,0,13.4144,0.02,-0.02,0,758.848,11.527,-11.527,0,5785,122,-122,0,1.46,0,0,0,2.059,1.999,-1.606,-1.664,2459875.814,2459875.806,5.5134264,5.513338,4.404,2.798,8489.224,7176.776,12.462,12.462,363.901,363.901,1216,1216,13.4344,13.3944,770.375,747.321,5907,5663,1.46,1.46
5938,PC,-10.278,0.043,-0.043,0,-11.151,0.046,-0.046,0,2459873.022,0.003708,-0.003708,0,4.7061119,0.0000233,-0.0000233,0,3.03,0.624,-0.624,0,2559,186.876,-186.876,0,4.75935,0.341463,-0.341463,0,331.92,0,0,0,1189,0,0,0,12.1075,0.006,-0.006,0,300.589,2.346,-2.346,0,5660,229.6,-229.6,0,1,0.05,-0.05,0,-10.235,-10.321,-11.105,-11.197,2459873.025,2459873.018,4.7061352,4.7060886,3.654,2.406,2745.876,2372.124,5.100813,4.417887,331.92,331.92,1189,1189,12.1135,12.1015,302.935,298.243,5889.6,5430.4,1.05,0.95
5939,PC,-5.296,0.039,-0.039,0,-5.642,0.033,-0.033,0,2459880.415,0.001627,-0.001627,0,5.5867425,0.0000128,-0.0000128,0,2.46,0.252,-0.252,0,15688,811.85,-811.85,0,13.0389,0,0,0,103.299,0,0,0,888,0,0,0,13.2903,0.029,-0.029,0,497.836,5.2105,-5.2105,0,5444,122,-122,0,1.02,0,0,0,-5.257,-5.335,-5.609,-5.675,2459880.417,2459880.414,5.5867553,5.5867297,2.712,2.208,16499.85,14876.15,13.0389,13.0389,103.299,103.299,888,888,13.3193,13.2613,503.0465,492.6255,5566,5322,1.02,1.02
5940,FP,-1.2,2.1,-2.1,0,5.2,2,-2,0,2460011.605,0.002093,-0.002093,0,1.8080364,0.0000039,-0.0000039,0,2.892,0.581,-0.581,0,1264,1065.6,-1065.6,0,0,0,0,0,12760.9,0,0,0,2960,0,0,0,10.1853,0.006,-0.006,0,0,0,0,0,5354.5,17.2,-17.2,0,0,0,0,0,0.9,-3.3,7.2,3.2,2460011.607,2460011.603,1.8080403,1.8080325,3.473,2.311,2329.6,198.4,0,0,12760.9,12760.9,2960,2960,10.1913,10.1793,0,0,5371.7,5337.3,0,0
5941,PC,15.063,0.065,-0.065,0,0.126,0.055,-0.055,0,2459878.296,0.001374,-0.001374,0,3.5595352,0.000012,-0.000012,0,1.027,0.177,-0.177,0,3006,298.53,-298.53,0,5.24582,0.401915,-0.401915,0,60.7503,0,0,0,777,0,0,0,11.6283,0.006,-0.006,0,261.749,2.809,-2.809,0,5669,129.5,-129.5,0,0.94,0.05,-0.05,0,15.128,14.998,0.181,0.071,2459878.297,2459878.294,3.5595472,3.5595232,1.204,0.85,3304.53,2707.47,5.647735,4.843905,60.7503,60.7503,777,777,11.6343,11.6223,264.558,258.94,5798.5,5539.5,0.99,0.89
5942,PC,6.273,0.044,-0.044,0,-29.634,0.046,-0.046,0,2459880.418,0.000553,-0.000553,0,3.7752321,0.0000069,-0.0000069,0,1.465,0.117,-0.117,0,7352,279.297,-279.297,0,10.759,0.586036,-0.586036,0,96.9264,0,0,0,874,0,0,0,11.4105,0.006,-0.006,0,303.581,2.745,-2.745,0,5585,127.8,-127.8,0,1.22,0.06,-0.06,0,6.317,6.229,-29.588,-29.68,2459880.419,2459880.418,3.775239,3.7752252,1.582,1.348,7631.297,7072.703,11.345036,10.172964,96.9264,96.9264,874,874,11.4165,11.4045,306.326,300.836,5712.8,5457.2,1.28,1.16
5943,PC,50.437,0.03,-0.03,0,-5.123,0.018,-0.018,0,2459880.976,0.002048,-0.002048,0,3.563037,0.0000094,-0.0000094,0,1.66,0.783,-0.783,0,4185,2816.54,-2816.54,0,7.13684,1.78858,-1.78858,0,190.511,0,0,0,1035,0,0,0,12.545,0.006,-0.006,0,217.319,0.989,-0.989,0,4490,114.1,-114.1,0,0.85,0.06,-0.06,0,50.467,50.407,-5.105,-5.141,2459880.978,2459880.974,3.5630464,3.5630276,2.443,0.877,7001.54,1368.46,8.92542,5.34826,190.511,190.511,1035,1035,12.551,12.539,218.308,216.33,4604.1,4375.9,0.91,0.79
5944,PC,5.639,0.029,-0.029,0,3.478,0.029,-0.029,0,2459876.615,0.002268,-0.002268,0,2.8953095,0.0000096,-0.0000096,0,4.137,0.333,-0.333,0,5366,193.736,-193.736,0,12.6737,0.663935,-0.663935,0,2522.62,0,0,0,1974,0,0,0,12.6449,0.009,-0.009,0,932.053,16.92,-16.92,0,6526,125.8,-125.8,0,1.98,0.09,-0.09,0,5.668,5.61,3.507,3.449,2459876.618,2459876.613,2.8953191,2.8952999,4.47,3.804,5559.736,5172.264,13.337635,12.009765,2522.62,2522.62,1974,1974,12.6539,12.6359,948.973,915.133,6651.8,6400.2,2.07,1.89
5945,PC,-1.276,0.032,-0.032,0,-3.75,0.023,-0.023,0,2459871.681,0.00342,-0.00342,0,8.6738593,0.000922,-0.000922,0,2.582,0.476,-0.476,0,5327,538.693,-538.693,0,12.6434,0.993653,-0.993653,0,108.749,0,0,0,899,0,0,0,12.863,0.007,-0.007,0,1013.07,21.7975,-21.7975,0,6446,131.6,-131.6,0,1.72,0.09,-0.09,0,-1.244,-1.308,-3.727,-3.773,2459871.685,2459871.678,8.6747813,8.6729373,3.058,2.106,5865.693,4788.307,13.637053,11.649747,108.749,108.749,899,899,12.87,12.856,1034.8675,991.2725,6577.6,6314.4,1.81,1.63
5946,PC,-11.447,0.063,-0.063,0,-14.081,0.038,-0.038,0,2459881.258,0.001246,-0.001246,0,3.1989808,0.0000069,-0.0000069,0,0.785,0.399,-0.399,0,1860,358.481,-358.481,0,7.20813,0.777434,-0.777434,0,133.516,0,0,0,947,0,0,0,10.5489,0.006,-0.006,0,330.476,5.256,-5.256,0,6442.9,103.8,-103.8,0,1.54,0.06,-0.06,0,-11.384,-11.51,-14.043,-14.119,2459881.259,2459881.256,3.1989877,3.1989739,1.184,0.386,2218.481,1501.519,7.985564,6.430696,133.516,133.516,947,947,10.5549,10.5429,335.732,325.22,6546.7,6339.1,1.6,1.48
5947,PC,8.191,0.033,-0.033,0,12.677,0.031,-0.031,0,2459876.327,0.003531,-0.003531,0,3.6119975,0.0000205,-0.0000205,0,4.013,0.537,-0.537,0,11983,622.439,-622.439,0,10.1678,0,0,0,1057.47,0,0,0,1588,0,0,0,13.4836,0.016,-0.016,0,578.849,7.192,-7.192,0,5979,122,-122,0,1.03,0,0,0,8.224,8.158,12.708,12.646,2459876.331,2459876.324,3.612018,3.611977,4.55,3.476,12605.439,11360.561,10.1678,10.1678,1057.47,1057.47,1588,1588,13.4996,13.4676,586.041,571.657,6101,5857,1.03,1.03
5948,PC,2.018,0.043,-0.043,0,2.635,0.039,-0.039,0,2459880.365,0.001479,-0.001479,0,3.7294859,0.0000088,-0.0000088,0,3.315,0.214,-0.214,0,7112,239.285,-239.285,0,9.77695,0.50829,-0.50829,0,553.409,0,0,0,1351,0,0,0,12.5814,0.009,-0.009,0,549.225,8.323,-8.323,0,5719.9,104.1,-104.1,0,1.24,0.06,-0.06,0,2.061,1.975,2.674,2.596,2459880.367,2459880.364,3.7294947,3.7294771,3.529,3.101,7351.285,6872.715,10.28524,9.26866,553.409,553.409,1351,1351,12.5904,12.5724,557.548,540.902,5824,5615.8,1.3,1.18
5949,PC,-0.569,0.084,-0.084,0,-4.847,0.05,-0.05,0,2459877.341,0.001539,-0.001539,0,3.6166109,0.0005113,-0.0005113,0,2.711,0.318,-0.318,0,7012,244.158,-244.158,0,14.0162,1.0805,-1.0805,0,1746.66,0,0,0,1801,0,0,0,11.7644,0.007,-0.007,0,937.243,60.904,-60.904,0,8143,127.5,-127.5,0,1.85,0.13,-0.13,0,-0.485,-0.653,-4.797,-4.897,2459877.342,2459877.339,3.6171222,3.6160996,3.029,2.393,7256.158,6767.842,15.0967,12.9357,1746.66,1746.66,1801,1801,11.7714,11.7574,998.147,876.339,8270.5,8015.5,1.98,1.72
