koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,koipos,koineg,koiperpos,koiperneg,koitimepos,koitimeneg,koidurpos,koidurneg,koidepthpos,koidepthneg,koipradpos,koipradneg,koiteqpos,koiteqneg,koinsolpos,koinsolneg,koisteffpos,koisteffneg,koisloggpos,koisloggneg,koisradpos,koisradneg
FALSE POSITIVE,FALSE POSITIVE,0,1.0388961,0.00001143,-0.00001143,132.37849,0.00836,-0.00836,4.755,0.573,-0.573,600.8,54.7,-54.7,114.1,87.12,-16.68,2494,0,0,9145.54,22350.48,-3396.5,14.7,7043,182,-256,4.264,0.071,-0.422,1.45,1.107,-0.212,12.114,1.03890753,1.03888467,1.03890753,1.03888467,132.38685,132.37013,5.328,4.182,655.5,546.1,201.22,97.42,2494,2494,31496.02,5749.04,7225,6787,4.335,3.842,2.557,1.238
FALSE POSITIVE,FALSE POSITIVE,0,293.76887,0.01413,-0.01413,257.9779,0.0357,-0.0357,4.68,1.1,-1.1,462,127,-127,1.97,0.86,-0.17,271,0,0,1.28,1.65,-0.33,4,6074,174,-176,4.522,0.049,-0.3,0.847,0.365,-0.075,15.099,293.783,293.75474,293.783,293.75474,258.0136,257.9422,5.78,3.58,589,335,2.83,1.8,271,271,2.93,0.95,6248,5898,4.571,4.222,1.212,0.772
FALSE POSITIVE,FALSE POSITIVE,0,1.87885327,0.00002188,-0.00002188,133.08861,0.00982,-0.00982,3.302,0.323,-0.323,120.9,12.6,-12.6,0.97,0.29,-0.09,1406,0,0,922.49,766,-248.32,12.1,5851,139,-157,4.534,0.05,-0.2,0.863,0.251,-0.084,13.689,1.87887515,1.87883139,1.87887515,1.87883139,133.09843,133.07879,3.625,2.979,133.5,108.3,1.26,0.88,1406,1406,1688.49,674.17,5990,5694,4.584,4.334,1.114,0.779
FALSE POSITIVE,FALSE POSITIVE,0,0.785473311,0.000000884,-0.000000884,131.861548,0.00091,-0.00091,1.3911,0.0296,-0.0296,339.6,6.9,-6.9,1.61,0.3,-0.22,1769,0,0,2325.64,1380.11,-793.02,57,5356,175,-159,4.466,0.1,-0.125,0.871,0.16,-0.12,14.333,0.785474195,0.785472427,0.785474195,0.785472427,131.862458,131.860638,1.4207,1.3615,346.5,332.7,1.91,1.39,1769,1769,3705.75,1532.62,5531,5197,4.566,4.341,1.031,0.751
FALSE POSITIVE,FALSE POSITIVE,0,5.2438982,0.0001018,-0.0001018,132.6882,0.0248,-0.0248,7.881,0.432,-0.432,162.2,7.5,-7.5,1.24,0.36,-0.16,1026,0,0,262.14,231.56,-86.95,18.7,5804,172,-190,4.473,0.078,-0.195,0.927,0.273,-0.117,15.563,5.244,5.2437964,5.244,5.2437964,132.713,132.6634,8.313,7.449,169.7,154.7,1.6,1.08,1026,1026,493.7,175.19,5976,5614,4.551,4.278,1.2,0.81
CANDIDATE,CANDIDATE,0.954,9.08745206,0.00008194,-0.00008194,139.99222,0.00767,-0.00767,3.786,0.202,-0.202,35.1,3.2,-3.2,0.73,0.12,-0.11,980,0,0,217.95,101.55,-74.37,11.7,5888,105,-129,4.275,0.144,-0.108,1.227,0.207,-0.186,12.4,9.087534,9.08737012,9.087534,9.08737012,139.99989,139.98455,3.988,3.584,38.3,31.9,0.85,0.62,980,980,319.5,143.58,5993,5759,4.419,4.167,1.434,1.041
FALSE POSITIVE,FALSE POSITIVE,0,441.877824,0.007177,-0.007177,251.778,0.0109,-0.0109,6.647,0.72,-0.72,1300,131,-131,39.55,3.36,-3.92,158,0,0,0.15,0.05,-0.04,15.2,4437,133,-129,4.629,0.054,-0.03,0.635,0.054,-0.063,15.05,441.885001,441.870647,441.885001,441.870647,251.7889,251.7671,7.367,5.927,1431,1169,42.91,35.63,158,158,0.2,0.11,4570,4308,4.683,4.599,0.689,0.572
FALSE POSITIVE,FALSE POSITIVE,0,2.9761504,0.0001345,-0.0001345,132.9276,0.041,-0.041,6.079,0.867,-0.867,259.5,38.1,-38.1,1.02,0.04,-0.09,811,0,0,102.54,23.03,-28.76,8.3,4236,129,-142,4.612,0.052,-0.017,0.664,0.028,-0.061,15.104,2.9762849,2.9760159,2.9762849,2.9760159,132.9686,132.8866,6.946,5.212,297.6,221.4,1.06,0.93,811,811,125.57,73.78,4365,4094,4.664,4.595,0.692,0.603
CONFIRMED,CANDIDATE,0.997,64.0019669,0.0006215,-0.0006215,132.61779,0.00688,-0.00688,4.724,0.231,-0.231,1112.5,83.9,-83.9,2.48,0.12,-0.11,322,0,0,2.55,0.44,-0.38,14.2,4652,74,-83,4.617,0.02,-0.032,0.697,0.034,-0.03,15.856,64.0025884,64.0013454,64.0025884,64.0013454,132.62467,132.61091,4.955,4.493,1196.4,1028.6,2.6,2.37,322,322,2.99,2.17,4726,4569,4.637,4.585,0.731,0.667
CONFIRMED,CANDIDATE,0.914,4.83809469,0.00008797,-0.00008797,135.1562,0.0107,-0.0107,1.096,0.135,-0.135,1544,169,-169,0.79,0.12,-0.12,354,0,0,3.7,1.58,-1.31,11.3,3187,62,-88,5.091,0.01,-0.01,0.2,0.03,-0.03,17.058,4.83818266,4.83800672,4.83818266,4.83800672,135.1669,135.1455,1.231,0.961,1713,1375,0.91,0.67,354,354,5.28,2.39,3249,3099,5.101,5.081,0.23,0.17
FALSE POSITIVE,FALSE POSITIVE,0,361.91436,0.05101,-0.05101,241.7138,0.0231,-0.0231,8.68,1.2,-1.2,228.2,32.7,-32.7,1.84,0.76,-0.29,297,0,0,1.84,2.28,-0.72,13,6247,192,-231,4.309,0.139,-0.251,1.147,0.469,-0.184,13.971,361.96537,361.86335,361.96537,361.86335,241.7369,241.6907,9.88,7.48,260.9,195.5,2.6,1.55,297,297,4.12,1.12,6439,6016,4.448,4.058,1.616,0.963
CONFIRMED,CANDIDATE,0.995,9.3281912,0.0001021,-0.0001021,132.85459,0.00993,-0.00993,3.991,0.249,-0.249,45.2,3.8,-3.8,0.59,0.09,-0.03,788,0,0,91.02,37.13,-13.94,13.7,5525,74,-82,4.514,0.032,-0.128,0.888,0.138,-0.046,12.897,9.3282933,9.3280891,9.3282933,9.3280891,132.86452,132.84466,4.24,3.742,49,41.4,0.68,0.56,788,788,128.15,77.08,5599,5443,4.546,4.386,1.026,0.842
CANDIDATE,CANDIDATE,0.948,106.957467,0.002169,-0.002169,224.9874,0.0132,-0.0132,7.006,0.503,-0.503,539.6,54.7,-54.7,2.4,0.75,-0.24,394,0,0,5.7,5.34,-1.72,11.7,6075,189,-210,4.486,0.054,-0.216,0.969,0.3,-0.1,15.716,106.959636,106.955298,106.959636,106.955298,225.0006,224.9742,7.509,6.503,594.3,484.9,3.15,2.16,394,394,11.04,3.98,6264,5865,4.54,4.27,1.269,0.869
FALSE POSITIVE,FALSE POSITIVE,1,0.629001455,0.00000457,-0.00000457,131.55662,0.00643,-0.00643,1.263,0.202,-0.202,14.7,2,-2,0.81,0.17,-0.24,3375,0,0,30567.67,18880.37,-17052.93,9.4,6739,161,-202,3.948,0.259,-0.111,2.059,0.439,-0.604,11.283,0.629006025,0.628996885,0.629006025,0.628996885,131.56305,131.55019,1.465,1.061,16.7,12.7,0.98,0.57,3375,3375,49448.04,13514.74,6900,6537,4.207,3.837,2.498,1.455
CONFIRMED,CANDIDATE,0.995,2.71603664,0.00001405,-0.00001405,132.35962,0.00441,-0.00441,1.744,0.125,-0.125,98.5,8.7,-8.7,1.05,0.14,-0.06,1360,0,0,807.43,278.79,-137.87,13.1,6011,72,-90,4.452,0.026,-0.104,1.041,0.138,-0.064,14.801,2.71605069,2.71602259,2.71605069,2.71602259,132.36403,132.35521,1.869,1.619,107.2,89.8,1.19,0.99,1360,1360,1086.22,669.56,6083,5921,4.478,4.348,1.179,0.977
CANDIDATE,CANDIDATE,0.974,75.8781344,0.0003549,-0.0003549,194.67762,0.00468,-0.00468,1.383,0.18,-0.18,1054,120,-120,3.39,0.91,-0.49,417,0,0,7.18,5.81,-2.53,11.9,5579,166,-166,4.413,0.12,-0.18,0.972,0.261,-0.141,15.183,75.8784893,75.8777795,75.8784893,75.8777795,194.6823,194.67294,1.563,1.203,1174,934,4.3,2.9,417,417,12.99,4.65,5745,5413,4.533,4.233,1.233,0.831
FALSE POSITIVE,FALSE POSITIVE,0,374.59003,0.08595,-0.08595,303.4857,0.094,-0.094,15.19,3.6,-3.6,267.9,51.7,-51.7,1.34,0.55,-0.14,227,0,0,0.62,0.8,-0.16,6.6,5497,174,-139,4.508,0.063,-0.258,0.827,0.343,-0.083,14.878,374.67598,374.50408,374.67598,374.50408,303.5797,303.3917,18.79,11.59,319.6,216.2,1.89,1.2,227,227,1.42,0.46,5671,5358,4.571,4.25,1.17,0.744
CANDIDATE,CANDIDATE,0.969,147.661729,0.001501,-0.001501,243.95262,0.00829,-0.00829,6.207,0.323,-0.323,1087.8,93.9,-93.9,1.59,0.12,-0.14,176,0,0,0.23,0.06,-0.05,13.2,3788,76,-84,4.774,0.036,-0.04,0.49,0.037,-0.041,15.645,147.66323,147.660228,147.66323,147.660228,243.96091,243.94433,6.53,5.884,1181.7,993.9,1.71,1.45,176,176,0.29,0.18,3864,3704,4.81,4.734,0.527,0.449
CANDIDATE,CANDIDATE,0.912,13.00291716,0.00007481,-0.00007481,132.02306,0.00524,-0.00524,3.058,0.154,-0.154,225.3,18.7,-18.7,1.28,0.35,-0.11,710,0,0,60.11,48.06,-15.53,14,5796,155,-173,4.575,0.044,-0.176,0.8,0.218,-0.068,14.634,13.00299197,13.00284235,13.00299197,13.00284235,132.0283,132.01782,3.212,2.904,244,206.6,1.63,1.17,710,710,108.17,44.58,5951,5623,4.619,4.399,1.018,0.732
FALSE POSITIVE,FALSE POSITIVE,0,319.30633,0.01571,-0.01571,221.3106,0.0344,-0.0344,6.74,1.1,-1.1,155.2,27.4,-27.4,1.26,0.43,-0.14,279,0,0,1.44,1.44,-0.46,7.2,6095,171,-214,4.459,0.056,-0.224,1.014,0.341,-0.114,13.327,319.32204,319.29062,319.32204,319.29062,221.345,221.2762,7.84,5.64,182.6,127.8,1.69,1.12,279,279,2.88,0.98,6266,5881,4.515,4.235,1.355,0.9
CANDIDATE,CANDIDATE,0.383,42.0292298,0.0008246,-0.0008246,138.8086,0.015,-0.015,8.499,0.371,-0.371,373.7,27.6,-27.6,2.33,0.38,-0.31,578,0,0,26.46,11.11,-7.78,14.5,5850,70,-88,4.297,0.12,-0.12,1.217,0.199,-0.163,15.085,42.0300544,42.0284052,42.0300544,42.0284052,138.8236,138.7936,8.87,8.128,401.3,346.1,2.71,2.02,578,578,37.57,18.68,5920,5762,4.417,4.177,1.416,1.054
FALSE POSITIVE,FALSE POSITIVE,0,1.75254087,0.00001932,-0.00001932,132.73775,0.00789,-0.00789,4.098,0.419,-0.419,42.5,3.3,-3.3,1.41,0.45,-0.56,2423,0,0,8141.84,7640.51,-5521.16,17.7,6660,177,-224,3.894,0.346,-0.159,2.074,0.666,-0.814,12.58,1.75256019,1.75252155,1.75256019,1.75252155,132.74564,132.72986,4.517,3.679,45.8,39.2,1.86,0.85,2423,2423,15782.35,2620.68,6837,6436,4.24,3.735,2.74,1.26
CANDIDATE,CANDIDATE,0,0.505111993,0.000000711,-0.000000711,131.51614,0.00118,-0.00118,0.4053,0.0684,-0.0684,212.8,13.1,-13.1,1.58,0.24,-0.14,1886,0,0,2970.58,1496.34,-737.87,18.7,5262,158,-142,4.59,0.032,-0.104,0.783,0.122,-0.066,15.544,0.505112704,0.505111282,0.505112704,0.505111282,131.51732,131.51496,0.4737,0.3369,225.9,199.7,1.82,1.44,1886,1886,4466.92,2232.71,5420,5120,4.622,4.486,0.905,0.717
FALSE POSITIVE,FALSE POSITIVE,0,0.646745436,0.000003091,-0.000003091,132.02582,0.004,-0.004,1.188,0.101,-0.101,115.6,10.3,-10.3,1.49,0.52,-0.17,2373,0,0,7468.24,7679.05,-2537.52,14.3,6325,174,-261,4.409,0.058,-0.218,1.112,0.388,-0.129,15.212,0.646748527,0.646742345,0.646748527,0.646742345,132.02982,132.02182,1.289,1.087,125.9,105.3,2.01,1.32,2373,2373,15147.29,4930.72,6499,6064,4.467,4.191,1.5,0.983
CONFIRMED,CANDIDATE,0.996,3.38557445,0.00001874,-0.00001874,133.97411,0.00436,-0.00436,1.879,0.136,-0.136,121.9,11.2,-11.2,1.63,0.42,-0.64,1476,0,0,1122.9,882.68,-749.25,13.1,5718,169,-152,4.069,0.42,-0.168,1.48,0.386,-0.579,13.767,3.38559319,3.38555571,3.38559319,3.38555571,133.97847,133.96975,2.015,1.743,133.1,110.7,2.05,0.99,1476,1476,2005.58,373.65,5887,5566,4.489,3.901,1.866,0.901
FALSE POSITIVE,FALSE POSITIVE,0,2.754024,0.0005967,-0.0005967,133.731,0.176,-0.176,4.15,0.529,-0.529,172.2,16.8,-16.8,1.68,0.96,-0.24,1553,0,0,1374.41,2440.86,-511.21,13.8,6419,185,-252,4.321,0.105,-0.318,1.188,0.682,-0.168,14.059,2.7546207,2.7534273,2.7546207,2.7534273,133.907,133.555,4.679,3.621,189,155.4,2.64,1.44,1553,1553,3815.27,863.2,6604,6167,4.426,4.003,1.87,1.02
FALSE POSITIVE,FALSE POSITIVE,0,1.975208831,0.000008234,-0.000008234,131.63127,0.00351,-0.00351,1.513,0.121,-0.121,76.3,6.5,-6.5,1.59,0.24,-0.35,2064,0,0,4299.89,1733.32,-1779.24,15.1,6401,77,-77,4.029,0.196,-0.098,1.744,0.273,-0.376,13.609,1.975217065,1.975200597,1.975217065,1.975200597,131.63478,131.62776,1.634,1.392,82.8,69.8,1.83,1.24,2064,2064,6033.21,2520.65,6478,6324,4.225,3.931,2.017,1.368
FALSE POSITIVE,FALSE POSITIVE,0,0.960843605,0.000003699,-0.000003699,131.7739,0.00316,-0.00316,3.22,0.195,-0.195,141.7,6.8,-6.8,19.15,5.4,-2.69,1904,0,0,3120.32,2604.65,-1123.24,25.5,5708,160,-200,4.378,0.087,-0.188,1.129,0.318,-0.159,14.92,0.960847304,0.960839906,0.960847304,0.960839906,131.77706,131.77074,3.415,3.025,148.5,134.9,24.55,16.46,1904,1904,5724.97,1997.08,5868,5508,4.465,4.19,1.447,0.97
FALSE POSITIVE,FALSE POSITIVE,0,4.206109,0.0001094,-0.0001094,132.2382,0.0167,-0.0167,5.16,0.533,-0.533,120,12.3,-12.3,0.91,0.17,-0.1,999,0,0,235.01,136.8,-71.9,11.9,5480,164,-164,4.522,0.08,-0.12,0.802,0.149,-0.092,15.316,4.2062184,4.2059996,4.2062184,4.2059996,132.2549,132.2215,5.693,4.627,132.3,107.7,1.08,0.81,999,999,371.81,163.11,5644,5316,4.602,4.402,0.951,0.71
FALSE POSITIVE,FALSE POSITIVE,0,0.962590772,0.000000463,-0.000000463,132.421278,0.000406,-0.000406,1.2569,0.0226,-0.0226,1021.6,12.3,-12.3,31.51,10.18,-4.06,2026,0,0,3989.37,3907.36,-1435.93,90.4,6274,196,-261,4.434,0.067,-0.216,1.062,0.343,-0.137,14.843,0.962591235,0.962590309,0.962591235,0.962590309,132.421684,132.420872,1.2795,1.2343,1033.9,1009.3,41.69,27.45,2026,2026,7896.73,2553.44,6470,6013,4.501,4.218,1.405,0.925
CONFIRMED,CANDIDATE,1,13.3997555,0.0001208,-0.0001208,131.84235,0.00667,-0.00667,3.534,0.188,-0.188,167.3,14.1,-14.1,1.51,0.46,-0.18,886,0,0,145.65,126.7,-47.4,13.6,6401,153,-211,4.389,0.062,-0.188,1.15,0.35,-0.14,14.924,13.3998763,13.3996347,13.3998763,13.3996347,131.84902,131.83568,3.722,3.346,181.4,153.2,1.97,1.33,886,886,272.35,98.25,6554,6190,4.451,4.201,1.5,1.01
CANDIDATE,CANDIDATE,0.992,2.49385348,0.00001181,-0.00001181,133.15177,0.00372,-0.00372,1.414,0.116,-0.116,46.9,4.7,-4.7,0.59,0.06,-0.05,1251,0,0,579.64,184.26,-131.64,12.3,5615,112,-112,4.477,0.088,-0.072,0.85,0.088,-0.072,13.03,2.49386529,2.49384167,2.49386529,2.49384167,133.15549,133.14805,1.53,1.298,51.6,42.2,0.65,0.54,1251,1251,763.9,448,5727,5503,4.565,4.405,0.938,0.778
FALSE POSITIVE,FALSE POSITIVE,0,0.776950288,0.000002028,-0.000002028,132.0396,0.00246,-0.00246,1.288,0.0605,-0.0605,396,18.6,-18.6,1.72,0.52,-0.17,1882,0,0,2974.07,2726.23,-888.99,25.8,5861,186,-206,4.546,0.036,-0.204,0.865,0.26,-0.087,15.832,0.776952316,0.77694826,0.776952316,0.77694826,132.04206,132.03714,1.3485,1.2275,414.6,377.4,2.24,1.55,1882,1882,5700.3,2085.08,6047,5655,4.582,4.342,1.125,0.778
FALSE POSITIVE,FALSE POSITIVE,0,5.93725628,0.00006084,-0.00006084,135.9371,0.0101,-0.0101,3.639,0.254,-0.254,115.6,8.1,-8.1,0.86,0.13,-0.12,891,0,0,148.97,71.27,-49.98,17.1,5428,162,-162,4.494,0.115,-0.104,0.799,0.117,-0.107,14.702,5.93731712,5.93719544,5.93731712,5.93719544,135.9472,135.927,3.893,3.385,123.7,107.5,0.99,0.74,891,891,220.24,98.99,5590,5266,4.609,4.39,0.916,0.692
CANDIDATE,CANDIDATE,0.999,18.22211768,0.00008404,-0.00008404,553.06646,0.00339,-0.00339,2.044,0.171,-0.171,2318,185,-185,7.45,1.99,-1.22,620,0,0,34.99,29.4,-13.78,15.2,5162,181,-181,4.411,0.144,-0.252,0.958,0.255,-0.157,16.084,18.22220172,18.22203364,18.22220172,18.22203364,553.06985,553.06307,2.215,1.873,2503,2133,9.44,6.23,620,620,64.39,21.21,5343,4981,4.555,4.159,1.213,0.801
CONFIRMED,CANDIDATE,1,4.56383697,0.00004582,-0.00004582,132.26068,0.0076,-0.0076,2.271,0.227,-0.227,201.8,23.7,-23.7,1.22,0.24,-0.13,980,0,0,218.18,132,-63.03,9.9,5408,160,-160,4.496,0.07,-0.13,0.861,0.168,-0.09,15.448,4.56388279,4.56379115,4.56388279,4.56379115,132.26828,132.25308,2.498,2.044,225.5,178.1,1.46,1.09,980,980,350.18,155.15,5568,5248,4.566,4.366,1.029,0.771
CANDIDATE,CANDIDATE,0.887,16.5340022,0.0002426,-0.0002426,135.409,0.0128,-0.0128,4.063,0.374,-0.374,89.2,10.4,-10.4,1.17,0.2,-0.19,819,0,0,106.21,51.98,-37.19,9.3,6052,121,-133,4.285,0.137,-0.112,1.202,0.208,-0.189,13.268,16.5342448,16.5337596,16.5342448,16.5337596,135.4218,135.3962,4.437,3.689,99.6,78.8,1.37,0.98,819,819,158.19,69.02,6173,5919,4.422,4.173,1.41,1.013
FALSE POSITIVE,FALSE POSITIVE,0,55.119831,0.006719,-0.006719,153.6508,0.0561,-0.0561,4.703,0.714,-0.714,114.5,18.4,-18.4,1.68,0.96,-0.44,622,0,0,35.48,60.29,-18.5,8.2,6297,149,-191,4.155,0.211,-0.299,1.506,0.855,-0.398,12.211,55.12655,55.113112,55.12655,55.113112,153.7069,153.5947,5.417,3.989,132.9,96.1,2.64,1.24,622,622,95.77,16.98,6446,6106,4.366,3.856,2.361,1.108
FALSE POSITIVE,FALSE POSITIVE,0,25.6416117,0.0007799,-0.0007799,152.9007,0.0187,-0.0187,5.5,1.2,-1.2,126.4,30.8,-30.8,1.76,1,-0.47,803,0,0,98.5,167.34,-51.36,4.9,6297,149,-191,4.155,0.211,-0.299,1.506,0.855,-0.398,12.211,25.6423916,25.6408318,25.6423916,25.6408318,152.9194,152.882,6.7,4.3,157.2,95.6,2.76,1.29,803,803,265.84,47.14,6446,6106,4.366,3.856,2.361,1.108
FALSE POSITIVE,FALSE POSITIVE,0,1.33258455,0.00003228,-0.00003228,132.0268,0.0237,-0.0237,5.77,1.1,-1.1,152.7,24,-24,15.89,4.76,-1.71,1680,0,0,1884.66,1668.18,-580.88,8.1,6039,168,-210,4.493,0.052,-0.208,0.951,0.285,-0.102,15.556,1.33261683,1.33255227,1.33261683,1.33255227,132.0505,132.0031,6.87,4.67,176.7,128.7,20.65,14.18,1680,1680,3552.84,1303.78,6207,5829,4.545,4.285,1.236,0.849
FALSE POSITIVE,FALSE POSITIVE,0,350.81029,0.02337,-0.02337,147.6369,0.029,-0.029,11.29,1.3,-1.3,538.3,59.2,-59.2,2.86,1.65,-0.48,282,0,0,1.51,2.67,-0.61,15.1,5841,162,-212,4.321,0.12,-0.32,1.226,0.709,-0.203,14.982,350.83366,350.78692,350.83366,350.78692,147.6659,147.6079,12.59,9.99,597.5,479.1,4.51,2.38,282,282,4.18,0.9,6003,5629,4.441,4.001,1.935,1.023
CONFIRMED,CANDIDATE,0.996,0.341842017,0.000000228,-0.000000228,131.660336,0.000545,-0.000545,1.1554,0.0417,-0.0417,285.6,5.3,-5.3,1.72,0.2,-0.14,2023,0,0,3991.16,1597.04,-949.26,70.1,5016,151,-136,4.601,0.03,-0.07,0.747,0.086,-0.058,14.915,0.341842245,0.341841789,0.341842245,0.341841789,131.660881,131.659791,1.1971,1.1137,290.9,280.3,1.92,1.58,2023,2023,5588.2,3041.9,5167,4880,4.631,4.531,0.833,0.689
CANDIDATE,CANDIDATE,0.97,13.9482197,0.00023,-0.00023,132.7505,0.0121,-0.0121,7.686,0.338,-0.338,119.4,9.5,-9.5,2.53,0.42,-0.78,1063,0,0,301.8,136.06,-164.87,14.5,5529,91,-75,3.808,0.217,-0.078,2.346,0.389,-0.722,14.305,13.9484497,13.9479897,13.9484497,13.9479897,132.7626,132.7384,8.024,7.348,128.9,109.9,2.95,1.75,1063,1063,437.86,136.93,5620,5454,4.025,3.73,2.735,1.624
CANDIDATE,CANDIDATE,0.988,5.67577999,0.00005445,-0.00005445,134.91027,0.00854,-0.00854,3.554,0.209,-0.209,51.2,5.3,-5.3,1.22,0.39,-0.24,1357,0,0,802.11,733.27,-354.6,11.2,6681,161,-241,4.233,0.124,-0.186,1.438,0.459,-0.282,13.802,5.67583444,5.67572554,5.67583444,5.67572554,134.91881,134.90173,3.763,3.345,56.5,45.9,1.61,0.98,1357,1357,1535.38,447.51,6842,6440,4.357,4.047,1.897,1.156
FALSE POSITIVE,FALSE POSITIVE,0.001,0.570953851,0.000003429,-0.000003429,131.5725,0.00489,-0.00489,0.998,0.216,-0.216,76.1,10.9,-10.9,1.01,0.33,-0.12,2464,0,0,8688.17,8393.33,-2975.2,8.9,6238,173,-260,4.396,0.073,-0.218,1.145,0.375,-0.134,15.212,0.57095728,0.570950422,0.57095728,0.570950422,131.57739,131.56761,1.214,0.782,87,65.2,1.34,0.89,2464,2464,17081.5,5712.97,6411,5978,4.469,4.178,1.52,1.011
CANDIDATE,CANDIDATE,0.998,49.564693,0.0008238,-0.0008238,170.6973,0.0102,-0.0102,8.54,0.423,-0.423,113.5,8.7,-8.7,1.63,0.3,-0.3,588,0,0,28.19,14.16,-10.96,15,5907,107,-131,4.212,0.143,-0.117,1.442,0.263,-0.263,12.83,49.5655168,49.5638692,49.5655168,49.5638692,170.7075,170.6871,8.963,8.117,122.2,104.8,1.93,1.33,588,588,42.35,17.23,6014,5776,4.355,4.095,1.705,1.179
FALSE POSITIVE,FALSE POSITIVE,0,4.29258258,0.00003677,-0.00003677,131.77675,0.00725,-0.00725,3.069,0.17,-0.17,369.6,26.6,-26.6,1.87,0.56,-0.18,1161,0,0,428.77,389.18,-135.49,16.1,6137,191,-255,4.487,0.05,-0.2,0.963,0.288,-0.096,15.888,4.29261935,4.29254581,4.29261935,4.29254581,131.784,131.7695,3.239,2.899,396.2,343,2.43,1.69,1161,1161,817.95,293.28,6328,5882,4.537,4.287,1.251,0.867
FALSE POSITIVE,FALSE POSITIVE,0,0.960842633,0.00000044,-0.00000044,131.777663,0.000367,-0.000367,2.6441,0.0206,-0.0206,2022.9,13.4,-13.4,67.53,20.93,-13.96,2808,0,0,14655.53,13807.27,-6885.77,176.1,7381,232,-310,4.186,0.124,-0.186,1.597,0.495,-0.33,13.402,0.960843073,0.960842193,0.960843073,0.960842193,131.77803,131.777296,2.6647,2.6235,2036.3,2009.5,88.46,53.57,2808,2808,28462.8,7769.76,7613,7071,4.31,4,2.092,1.267
FALSE POSITIVE,FALSE POSITIVE,0,14.5893928,0,0,136.1407,0,0,15.54,0,0,0,0,0,0,0,0,0,0,0,102.46,138.91,-29.61,0,0,0,0,0,0,0,0,0,0,12.616,14.5893928,14.5893928,14.5893928,14.5893928,136.1407,136.1407,15.54,15.54,0,0,0,0,0,0,241.37,72.85,0,0,0,0,0,0
CONFIRMED,CANDIDATE,0.877,5.49548533,0.00002675,-0.00002675,133.63966,0.00453,-0.00453,2.461,0.122,-0.122,85.8,7.1,-7.1,1.3,0.36,-0.36,1293,0,0,661.04,564.99,-367.92,14.2,6157,197,-241,4.159,0.258,-0.172,1.392,0.388,-0.388,13.95,5.49551208,5.49545858,5.49551208,5.49545858,133.64419,133.63513,2.583,2.339,92.9,78.7,1.66,0.94,1293,1293,1226.03,293.12,6354,5916,4.417,3.987,1.78,1.004
CANDIDATE,CANDIDATE,0.854,2.89494709,0.00002251,-0.00002251,132.62547,0.0058,-0.0058,3.254,0.179,-0.179,45.8,3.8,-3.8,1.16,0.34,-0.28,1919,0,0,3204.25,2992.58,-1774.8,14.3,7087,250,-428,4.137,0.17,-0.187,1.684,0.501,-0.41,13.458,2.8949696,2.89492458,2.8949696,2.89492458,132.63127,132.61967,3.433,3.075,49.6,42,1.5,0.88,1919,1919,6196.83,1429.45,7337,6659,4.307,3.95,2.185,1.274
FALSE POSITIVE,FALSE POSITIVE,0,0.980505042,0.000000938,-0.000000938,132.097771,0.00083,-0.00083,1.4068,0.0467,-0.0467,426.6,10,-10,26.35,7.74,-4.75,1904,0,0,3100.61,2771.91,-1293.23,51.5,5794,182,-202,4.372,0.128,-0.192,1.059,0.311,-0.191,15.198,0.98050598,0.980504104,0.98050598,0.980504104,132.098601,132.096941,1.4535,1.3601,436.6,416.6,34.09,21.6,1904,1904,5872.52,1807.38,5976,5592,4.5,4.18,1.37,0.868
CONFIRMED,CANDIDATE,0.995,20.4853893,0.0003165,-0.0003165,146.9183,0.0118,-0.0118,10.229,0.314,-0.314,89.5,5.4,-5.4,3.6,0.67,-0.6,1015,0,0,251.16,121.29,-87.29,17.9,4938,69,-79,3.45,0.143,-0.13,3.324,0.613,-0.551,13.007,20.4857058,20.4850728,20.4857058,20.4850728,146.9301,146.9065,10.543,9.915,94.9,84.1,4.27,3,1015,1015,372.45,163.87,5007,4859,3.593,3.32,3.937,2.773
CONFIRMED,CANDIDATE,1,3.58273837,0.00002315,-0.00002315,134.95108,0.00574,-0.00574,1.523,0.154,-0.154,360.5,38,-38,1.64,0.37,-0.16,1064,0,0,302.74,215.05,-86.99,11.6,5448,179,-179,4.517,0.05,-0.15,0.872,0.197,-0.085,15.965,3.58276152,3.58271522,3.58276152,3.58271522,134.95682,134.94534,1.677,1.369,398.5,322.5,2.01,1.48,1064,1064,517.79,215.75,5627,5269,4.567,4.367,1.069,0.787
