koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,koipos,koineg,koiperpos,koiperneg,koitimepos,koitimeneg,koidurpos,koidurneg,koidepthpos,koidepthneg,koipradpos,koipradneg,koiteqpos,koiteqneg,koinsolpos,koinsolneg,koisteffpos,koisteffneg,koisloggpos,koisloggneg,koisradpos,koisradneg
CONFIRMED,CANDIDATE,1,5.349553819,0.000008834,-0.000008834,171.80694,0.00127,-0.00127,3.0278,0.0471,-0.0471,831,14.8,-14.8,2.55,0.16,-0.24,919,0,0,168.99,34.66,-38.48,60.6,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,15.416,5.349562653,5.349544985,5.349562653,5.349544985,171.80821,171.80567,3.0749,2.9807,845.8,816.2,2.71,2.31,919,919,203.65,130.51,5270,5108,4.538,4.395,0.967,0.824
CONFIRMED,CANDIDATE,0.98,3.94105221,0.00001094,-0.00001094,136.08662,0.00233,-0.00233,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,1.7,0.11,-0.16,1018,0,0,253.15,51.91,-57.65,28.9,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,15.416,3.94106315,3.94104127,3.94106315,3.94104127,136.08895,136.08429,2.6721,2.5247,377.2,349.4,1.81,1.54,1018,1018,305.06,195.5,5270,5108,4.538,4.395,0.967,0.824
CONFIRMED,CANDIDATE,0.971,8.10904807,0.00006787,-0.00006787,132.8031,0.00716,-0.00716,3.596,0.198,-0.198,217.4,16.8,-16.8,1.3,0.09,-0.12,800,0,0,97.03,19.9,-22.09,14.1,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,15.416,8.10911594,8.1089802,8.10911594,8.1089802,132.81026,132.79594,3.794,3.398,234.2,200.6,1.39,1.18,800,800,116.93,74.94,5270,5108,4.538,4.395,0.967,0.824
FALSE POSITIVE,FALSE POSITIVE,0,386.6030528,0.0001369,-0.0001369,166.342079,0.000299,-0.000299,6.8057,0.0184,-0.0184,24927,45.8,-45.8,41.5,1.68,-1.68,297,0,0,1.84,0.26,-0.24,994,5543,79,-79,4.081,0.014,-0.014,1.58,0.064,-0.064,12.394,386.6031897,386.6029159,386.6031897,386.6029159,166.342378,166.34178,6.8241,6.7873,24972.8,24881.2,43.18,39.82,297,297,2.1,1.6,5622,5464,4.095,4.067,1.644,1.516
CONFIRMED,CANDIDATE,1,21.67699193,0.0000701,-0.0000701,171.53594,0.00258,-0.00258,3.4555,0.0656,-0.0656,857.2,27.1,-27.1,2.95,0.12,-0.23,530,0,0,18.64,2.78,-3.8,34.3,4954,79,-79,4.5,0.075,-0.02,0.828,0.032,-0.065,15.377,21.67706203,21.67692183,21.67706203,21.67692183,171.53852,171.53336,3.5211,3.3899,884.3,830.1,3.07,2.72,530,530,21.42,14.84,5033,4875,4.575,4.48,0.86,0.763
CONFIRMED,CANDIDATE,1,4.99677968,0.00001389,-0.00001389,171.74208,0.00219,-0.00219,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,917,0,0,166.95,102.06,-42.14,28.2,5339,175,-159,4.552,0.034,-0.136,0.847,0.161,-0.069,15.861,4.99679357,4.99676579,4.99679357,4.99676579,171.74427,171.73989,2.2479,2.0955,974.4,895,3.3,2.55,917,917,269.01,124.81,5514,5180,4.586,4.416,1.008,0.778
CONFIRMED,CANDIDATE,1,4.280963604,0.000006141,-0.000006141,171.89659,0.00115,-0.00115,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,1012,0,0,247.87,182.24,-63.32,61.8,5644,152,-169,4.564,0.032,-0.168,0.831,0.207,-0.069,15.356,4.280969745,4.280957463,4.280969745,4.280957463,171.89774,171.89544,2.917,2.833,764.9,736.7,2.88,2.11,1012,1012,430.11,184.55,5796,5475,4.596,4.396,1.038,0.762
FALSE POSITIVE,FALSE POSITIVE,0,1.50635409,0.00000047,-0.00000047,170.998064,0.000246,-0.000246,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,1452,0,0,1054.12,703.1,-292.26,181.1,5714,155,-172,4.563,0.04,-0.16,0.831,0.186,-0.08,15.525,1.50635456,1.50635362,1.50635456,1.50635362,170.99831,170.997818,1.5638,1.4672,2230,2193.4,5.54,4.09,1452,1452,1757.22,761.86,5869,5542,4.603,4.403,1.017,0.751
FALSE POSITIVE,FALSE POSITIVE,0,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,53.412,0.131,-0.131,18091,33.5,-33.5,14.14,2.13,-0.71,196,0,0,0.35,0.15,-0.06,642.7,5520,100,-111,4.466,0.032,-0.12,0.983,0.148,-0.049,15.207,670.646768,670.644294,670.646768,670.644294,209.04512,209.04198,53.543,53.281,18124.5,18057.5,16.27,13.43,196,196,0.5,0.29,5620,5409,4.498,4.346,1.131,0.934
FALSE POSITIVE,FALSE POSITIVE,0,61.2563628,0.000156,-0.000156,173.83826,0.00209,-0.00209,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,505,0,0,15.43,14.85,-5.51,85.3,6144,184,-220,4.402,0.072,-0.217,1.091,0.35,-0.15,15.25,61.2565188,61.2562068,61.2565188,61.2562068,173.84035,173.83617,7.738,7.528,5193.9,5052.7,52.66,34.39,505,505,30.28,9.92,6328,5924,4.474,4.185,1.441,0.941
