default_flag,disposition,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,orbpos,orbneg,radepos,radjpos,radpos,radneg,distpos,vmagpos,vmagneg,kmagpos,kmagneg,gaiamagpos,gaiamagneg
1,CANDIDATE,0,14.9139,0.0018,-0.002,0,3.24,0.33,-0.56,0,0.289,0.029,-0.05,0,0.647,0.038,-0.024,0,360.103,5.725,-5.552,15.537,0.046,-0.046,12.424,0.027,-0.027,15.0437,0.000289,-0.000289,14.9157,14.9119,2.68,0.239,0.685,0.623,354.551,15.583,15.491000000000001,12.450999999999999,12.397,15.043989,15.043410999999999
1,CANDIDATE,0,0.57303573,0,0,0,3.35,0,0,0,0.29886698,0,0,0,0.43,0,0,0,1138.64,340.67,-221.637,18.78,0.2,-0.2,15.155,0.159,-0.159,18.0887,0.002148,-0.002148,0.57303573,0.57303573,3.35,0.29886698,0.43,0.43,917.0030000000002,18.98,18.580000000000002,15.314,14.995999999999999,18.090847999999998,18.086552
1,CONFIRMED,1,28.1656,0.0027,-0.0028,0,1.87,0.2,-0.45,0,0.16683023,0.0178428,-0.04014631,0,0,0,0,0,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,15.2612,0.000501,-0.000501,28.168300000000002,28.1628,1.4200000000000002,0.12668392,0,0,157.869,17.147,14.881,11.956999999999999,11.909,15.261701,15.260699
0,CONFIRMED,1,28.1696,0.0038,-0.0043,0,2.2,0.54,-0.3,0,0.2,0.048,-0.03,0,0.374,0.089,-0.035,0,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,15.2612,0.000501,-0.000501,28.173399999999997,28.1653,1.9000000000000001,0.17,0.46299999999999997,0.33899999999999997,157.869,17.147,14.881,11.956999999999999,11.909,15.261701,15.260699
1,CANDIDATE,1,7.90417,0.00091,-0.00148,0,2.06,0.53,-0.56,0,0.184,0.047,-0.05,0,0.374,0.089,-0.035,0,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,15.2612,0.000501,-0.000501,7.90508,7.90269,1.5,0.134,0.46299999999999997,0.33899999999999997,157.869,17.147,14.881,11.956999999999999,11.909,15.261701,15.260699
0,CANDIDATE,1,7.9069606,0,0,0,3.02,0,0,0,0.26942635,0,0,0,0.52,0,0,0,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,15.2612,0.000501,-0.000501,7.9069606,7.9069606,3.02,0.26942635,0.52,0.52,157.869,17.147,14.881,11.956999999999999,11.909,15.261701,15.260699
1,CANDIDATE,0,1.0829614,0,0,0,1.56,0,0,0,0.13917388,0,0,0,0.56,0,0,0,299.406,4.528,-4.398,15.657,0.355,-0.355,12.282,0.024,-0.024,15.1848,0.000676,-0.000676,1.0829614,1.0829614,1.56,0.13917388,0.56,0.56,295.008,16.012,15.302,12.306,12.258000000000001,15.185476,15.184123999999999
1,CANDIDATE,0,0.905655,4.9e-05,-5.00E-05,0,1.57,0.16,-0.26,0,0.14,0.014,-0.023,0,0.576,0.04,-0.028,0,190.075,1.555,-1.555,15.731,0.446,-0.446,11.735,0.026,-0.026,14.9247,0.000531,-0.000531,0.905704,0.905605,1.31,0.11700000000000002,0.616,0.5479999999999999,188.51999999999998,16.177,15.285,11.761,11.709,14.925231,14.924169
0,CANDIDATE,0,0.90552205,0,0,0,1.52,0,0,0,0.13560532,0,0,0,0.5,0,0,0,190.075,1.555,-1.555,15.731,0.446,-0.446,11.735,0.026,-0.026,14.9247,0.000531,-0.000531,0.90552205,0.90552205,1.52,0.13560532,0.5,0.5,188.51999999999998,16.177,15.285,11.761,11.709,14.925231,14.924169
0,CANDIDATE,0,2.7541129,0,0,0,4.87,0,0,0,0.4344723,0,0,0,0.55,0,0,0,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,16.7664,0.000761,-0.000761,2.7541129,2.7541129,4.87,0.4344723,0.55,0.55,707.536,17.421,17.3288,13.805,13.690999999999999,16.767161,16.765639
1,CANDIDATE,0,2.75421,0.00012,-0.00012,0,8.4,1.2,-6.8,0,0.75,0.11,-0.61,0,0.89,0.063,-0.01,0,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,16.7664,0.000761,-0.000761,2.75433,2.75409,1.6000000000000005,0.14,0.9530000000000001,0.88,707.536,17.421,17.3288,13.805,13.690999999999999,16.767161,16.765639
0,CANDIDATE,0,2.75391,0.00015,-0.00015,0,3.78,0.68,-0.68,0,0.337,0.061,-0.061,0,0.436,0.027,-0.027,0,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,16.7664,0.000761,-0.000761,2.75406,2.7537599999999998,3.0999999999999996,0.276,0.463,0.409,707.536,17.421,17.3288,13.805,13.690999999999999,16.767161,16.765639
1,FALSE POSITIVE,0,50.285869,0,0,0,3.47,0,0,0,0.30957266,0,0,0,0.74,0,0,0,829.248,29.0795,-29.0795,11.668,0.033,-0.033,9.368,0.023,-0.023,11.5044,0.000606,-0.000606,50.285869,50.285869,3.47,0.30957266,0.74,0.74,800.1685,11.700999999999999,11.635,9.391,9.345,11.505006,11.503794000000001
0,FALSE POSITIVE,0,50.27762,0.00785,-0.00785,0,209.52,99.23,-99.23,0,18.692,8.853,-8.853,0,10.96,0.82,-0.93,0,829.248,29.0795,-29.0795,11.668,0.033,-0.033,9.368,0.023,-0.023,11.5044,0.000606,-0.000606,50.28547,50.26977,110.29,9.839,11.780000000000001,10.030000000000001,800.1685,11.700999999999999,11.635,9.391,9.345,11.505006,11.503794000000001
1,CANDIDATE,0,10.50439,0.00059,-0.00061,0,1.75,0.15,-0.43,0,0.156,0.013,-0.038,0,0.878,0.018,-0.02,0,84.947,0.3721,-0.369,9.996,0.005,-0.005,8.166,0,0,9.78271,0.000859,-0.000859,10.504980000000002,10.50378,1.32,0.118,0.896,0.858,84.578,10.001000000000001,9.991,8.166,8.166,9.783569,9.781851
1,CANDIDATE,0,1.684208,2.4e-05,-2.40E-05,0,5.51,0.67,-0.9,0,0.492,0.06,-0.08,0,0.431,0.051,-0.069,0,325.636,9.1805,-9.1805,16.809,0.423,-0.423,12.941,0.03,-0.03,16.2552,0.001704,-0.001704,1.684232,1.684184,4.609999999999999,0.412,0.482,0.362,316.45550000000003,17.232,16.386000000000003,12.971,12.911000000000001,16.256904,16.253496
1,CANDIDATE,0,0.2122013,2.3e-06,-1.80E-06,0,0.519,0.046,-0.123,0,0.0463,0.0041,-0.011,0,0.188,0.01,-0.004,0,71.8937,0.2492,-0.2475,14.898,0.025,-0.025,10.357,0.021,-0.021,13.8198,0.000557,-0.000557,0.21220360000000002,0.2121995,0.396,0.0353,0.198,0.184,71.6462,14.923,14.873,10.378,10.335999999999999,13.820357000000001,13.819243
0,CANDIDATE,0,0.21219899,0,0,0,1.05,0,0,0,0.09367473,0,0,0,0.37,0,0,0,71.8937,0.2492,-0.2475,14.898,0.025,-0.025,10.357,0.021,-0.021,13.8198,0.000557,-0.000557,0.21219899,0.21219899,1.05,0.09367473,0.37,0.37,71.6462,14.923,14.873,10.378,10.335999999999999,13.820357000000001,13.819243
0,CANDIDATE,0,0.212194,2.6e-05,-2.60E-05,0,0.77,0.18,-0.18,0,0.069,0.016,-0.016,0,0.26,0.05,-0.05,0,71.8937,0.2492,-0.2475,14.898,0.025,-0.025,10.357,0.021,-0.021,13.8198,0.000557,-0.000557,0.21222,0.212168,0.5900000000000001,0.053000000000000005,0.31,0.21000000000000002,71.6462,14.923,14.873,10.378,10.335999999999999,13.820357000000001,13.819243
0,CANDIDATE,0,1.5778643,0,0,0,7.55,0,0,0,0.67356588,0,0,0,0.73,0,0,0,290.883,4.203,-4.086,12.605,0.126,-0.126,10.401,0.023,-0.023,12.2983,0.003337,-0.003337,1.5778643,1.5778643,7.55,0.67356588,0.73,0.73,286.79699999999997,12.731,12.479000000000001,10.424,10.378,12.301637,12.294963
1,CANDIDATE,0,1.57771549,0,0,0,0,0,0,0,0,0,0,0,1.15585,0.065907,-0.089747,0,290.883,4.203,-4.086,12.605,0.126,-0.126,10.401,0.023,-0.023,12.2983,0.003337,-0.003337,1.57771549,1.57771549,0,0,1.221757,1.066103,286.79699999999997,12.731,12.479000000000001,10.424,10.378,12.301637,12.294963
1,CANDIDATE,0,1.57771549,0,0,0,0,0,0,0,0,0,0,0,2.56752,0.111879,-0.093196,0,307.784,6.025,-5.801,9.12,0.03,-0.03,8.438,0.023,-0.023,9.0828,0.000267,-0.000267,1.57771549,1.57771549,0,0,2.679399,2.474324,301.983,9.149999999999999,9.09,8.461,8.415000000000001,9.083067,9.082533000000002
1,CANDIDATE,0,13.0113,0.0052,-0.00422,0,2.43,0.25,-0.24,0,0.217,0.022,-0.021,0,0.880221,0,0,0,501.257,8.49,-8.216,14.003,0.149,-0.149,12.194,0.027,-0.027,13.8764,0.000192,-0.000192,13.0165,13.00708,2.1900000000000004,0.196,0.880221,0.880221,493.041,14.152,13.854000000000001,12.221,12.167000000000002,13.876592,13.876208
1,CANDIDATE,0,40.70206194,0,0,0,0,0,0,0,0,0,0,0,0.572892,0.017217,-0.017217,0,118.959,0.517,-0.512,14.418,0.05,-0.05,10.591,0.025,-0.025,13.6506,0.000321,-0.000321,40.70206194,40.70206194,0,0,0.590109,0.5556749999999999,118.447,14.468,14.367999999999999,10.616,10.565999999999999,13.650921,13.650279000000001
1,CANDIDATE,0,21.204739,0.005348,-0.005523,0,9.11013939,1.16378405,-0.95135653,0,0.81,0.1,-0.08,0,1.761722,0.212777,-0.1708,0,573.991,20.314,-20.314,11.965,0.103,-0.103,9.8,0.021,-0.021,11.7673,0.000431,-0.000431,21.210087,21.199216,8.15878286,0.7300000000000001,1.974499,1.590922,553.677,12.068,11.862,9.821000000000002,9.779,11.767731000000001,11.766869
0,FALSE POSITIVE,0,2.519334,3.5e-05,-3.50E-05,0,3.91,0.85,-0.85,0,0.349,0.076,-0.076,0,1.45,0.25,-0.25,0,476.884,0,0,12.293,0.08,-0.08,10.89,0.026,-0.026,12.1049,0.000424,-0.000424,2.519369,2.519299,3.06,0.27299999999999996,1.7,1.2,476.884,12.373,12.213,10.916,10.864,12.105324000000001,12.104476
0,FALSE POSITIVE,0,2.5194039,2.02e-05,-2.02E-05,0,7.65729,0,0,0,0.68313883,0,0,0,1.76,0,0,0,476.884,0,0,12.293,0.08,-0.08,10.89,0.026,-0.026,12.1049,0.000424,-0.000424,2.5194240999999997,2.5193837,7.65729,0.68313883,1.76,1.76,476.884,12.373,12.213,10.916,10.864,12.105324000000001,12.104476
1,FALSE POSITIVE,0,2.519386,1.4e-05,-1.40E-05,0,19.6,5.1,-8.7,0,1.75,0.45,-0.78,0,2.03,0.178,-0.068,0,476.884,0,0,12.293,0.08,-0.08,10.89,0.026,-0.026,12.1049,0.000424,-0.000424,2.5194,2.5193719999999997,10.900000000000002,0.97,2.2079999999999997,1.9619999999999997,476.884,12.373,12.213,10.916,10.864,12.105324000000001,12.104476
0,FALSE POSITIVE,0,2.51881781,0,0,0,0,0,0,0,0,0,0,0,1.76277,0,0,0,476.884,0,0,12.293,0.08,-0.08,10.89,0.026,-0.026,12.1049,0.000424,-0.000424,2.51881781,2.51881781,0,0,1.76277,1.76277,476.884,12.373,12.213,10.916,10.864,12.105324000000001,12.104476
0,FALSE POSITIVE,0,2.5194078,0,0,0,7.99,0,0,0,0.71282006,0,0,0,1.72,0,0,0,476.884,0,0,12.293,0.08,-0.08,10.89,0.026,-0.026,12.1049,0.000424,-0.000424,2.5194078,2.5194078,7.99,0.71282006,1.72,1.72,476.884,12.373,12.213,10.916,10.864,12.105324000000001,12.104476
0,CANDIDATE,0,13.383629,0.00076,-0.000727,0,2.87289326,0.19065085,-0.14348337,0,0.26,0.02,-0.01,0,0.815235,0.026738,-0.017747,0,194.195,3.666,-3.535,13.002,0.08,-0.08,10.708,0.021,-0.021,12.6813,0.000146,-0.000146,13.384389,13.382902000000001,2.7294098900000003,0.25,0.8419730000000001,0.7974880000000001,190.66,13.082,12.922,10.729000000000001,10.687,12.681446000000001,12.681154
1,CANDIDATE,0,13.38382,0.00116,-0.00114,0,2.7,0.17,-0.1,0,0.24,0.015,-0.009,0,0.65973,0.034864,-0.034925,0,194.195,3.666,-3.535,13.002,0.08,-0.08,10.708,0.021,-0.021,12.6813,0.000146,-0.000146,13.38498,13.38268,2.6,0.23099999999999998,0.694594,0.624805,190.66,13.082,12.922,10.729000000000001,10.687,12.681446000000001,12.681154
1,CANDIDATE,0,11.8951,0.0014,-0.0017,0,0,0,0,0,0,0,0,0,0.68,0.07,-0.06,0,449.79,8.343,-8.05,12.788,0.057,-0.057,11.271,0.03,-0.03,12.627,0.000203,-0.000203,11.8965,11.8934,0,0,0.75,0.6200000000000001,441.74,12.845,12.731,11.301,11.241000000000001,12.627203000000002,12.626797
1,CANDIDATE,0,40.1401,0.0012,-0.0012,0,20.8,7.4,-10,0,1.86,0.66,-0.9,0,0.716,0.131,-0.025,0,342.596,5.901,-5.901,16.153,0.297,-0.297,12.567,0.03,-0.03,15.5853,0.000949,-0.000949,40.141299999999994,40.1389,10.8,0.9600000000000001,0.847,0.691,336.695,16.45,15.855999999999998,12.597,12.537,15.586249,15.584351
1,CANDIDATE,0,7.4433,0.0011,-0.0012,0,2.73,0.47,-2.33,0,0.244,0.042,-0.208,0,0.724,0.053,-0.041,0,328.871,4.635,-4.511,15.374,0.229,-0.229,12.165,0.024,-0.024,14.943,0.000548,-0.000548,7.4444,7.4421,0.3999999999999999,0.036000000000000004,0.777,0.6829999999999999,324.35999999999996,15.603,15.145000000000001,12.188999999999998,12.141,14.943548,14.942452
1,CANDIDATE,0,2.638,0.0003,-0.00029,0,2.91,0.4,-0.33,0,0.26,0.04,-0.029,0,0,0,0,0,0,0,0,14.872,0.195,-0.195,11.39,0.029,-0.029,14.4164,0.005014,-0.005014,2.6383,2.6377099999999998,2.58,0.231,0,0,0,15.067,14.677,11.419,11.361,14.421413999999999,14.411386
1,CANDIDATE,0,27.47083,0.01089,-0.01286,0,3.36,0.26,-0.18,0,0.3,0.023,-0.016,0,0.749863,0.038988,-0.0685,0,273.773,6.33,-6.056,13.687,0.103,-0.103,11.282,0.026,-0.026,13.3313,0.00051,-0.00051,27.48172,27.45797,3.1799999999999997,0.284,0.788851,0.6813629999999999,267.71700000000004,13.79,13.584,11.308,11.256,13.33181,13.33079
1,CANDIDATE,0,2.8268121,0,0,0,40.1,0,0,0,3.57748238,0,0,0,0.98,0,0,0,649.666,21.421,-20.119,12.137,0.057,-0.057,10.399,0.024,-0.024,11.8038,0.000992,-0.000992,2.8268121,2.8268121,40.1,3.57748238,0.98,0.98,629.547,12.194,12.08,10.422999999999998,10.375,11.804792,11.802808
1,CONFIRMED,1,0.72091,0.00014,-0.00014,0,1.5,0.2,-0.2,0,0.13382127,0.01784284,-0.01784284,0,0.94,0.09,-0.09,0,706.391,16.79,-16.79,14.321,0.172,-0.172,12.581,0.029,-0.029,14.147,0.000208,-0.000208,0.7210500000000001,0.72077,1.3,0.11597843,1.03,0.85,689.601,14.493,14.149,12.61,12.552,14.147208000000001,14.146792
1,CANDIDATE,0,4.44044,0.00037,-0.00038,0,1.32,0.15,-0.33,0,0.118,0.013,-0.029,0,1.053,0.081,-0.088,0,243.084,3.037,-2.965,11.838,0.103,-0.103,10.484,0.053,-0.053,11.9904,0.000864,-0.000864,4.44081,4.44006,0.99,0.089,1.134,0.965,240.119,11.940999999999999,11.735,10.537,10.431,11.991264,11.989536
0,CANDIDATE,0,4.4416421,0,0,0,1.17,0,0,0,0.10438041,0,0,0,0.9,0,0,0,243.084,3.037,-2.965,11.838,0.103,-0.103,10.484,0.053,-0.053,11.9904,0.000864,-0.000864,4.4416421,4.4416421,1.17,0.10438041,0.9,0.9,240.119,11.940999999999999,11.735,10.537,10.431,11.991264,11.989536
0,CANDIDATE,0,4.441258,0.000878,-0.000942,0,1.12422498,0.84568044,-0.12860819,0,0.1,0.08,-0.01,0,0.833852,0.050419,-0.030962,0,243.084,3.037,-2.965,11.838,0.103,-0.103,10.484,0.053,-0.053,11.9904,0.000864,-0.000864,4.4421360000000005,4.440316,0.9956167899999999,0.09,0.884271,0.80289,240.119,11.940999999999999,11.735,10.537,10.431,11.991264,11.989536
1,CANDIDATE,0,11.20381,0.00055,-0.00055,0,2.18,0.33,-0.6,0,0.194,0.029,-0.05,0,1.1,0.14,-0.25,0,325.849,5.542,-5.362,12.238,0.046,-0.046,10.496,0.023,-0.023,11.8803,0.000404,-0.000404,11.204360000000001,11.20326,1.58,0.14400000000000002,1.2400000000000002,0.8500000000000001,320.48699999999997,12.283999999999999,12.192,10.519,10.473,11.880704,11.879896
1,CANDIDATE,0,8.006875,0.001371,-0.001314,0,2.384,0.21,-0.189,0,0.2126866,0.01873498,-0.01686148,0,0.846,0.056,-0.051,0,511.581,7.718,-7.718,14.285,0.172,-0.172,12.283,0.023,-0.023,13.9771,0.000269,-0.000269,8.008246000000002,8.005561,2.195,0.19582512,0.902,0.7949999999999999,503.863,14.457,14.113,12.306,12.26,13.977369,13.976831
1,CANDIDATE,0,3.3643115,0,0,0,85.6,0,0,0,7.63672049,0,0,0,1.32,0,0,0,147.352,1.189,-1.17,8.45,0.03,-0.03,7.211,0.023,-0.023,8.32033,0.000866,-0.000866,3.3643115,3.3643115,85.6,7.63672049,1.32,1.32,146.18200000000002,8.479999999999999,8.42,7.234,7.188000000000001,8.321196,8.319464
1,CONFIRMED,1,2.13174,0.00022,-0.00022,0,0.692,0.059,-0.048,0,0.0617361,0.00526363,-0.00428227,0,0,0,0,0,253.026,1.664,-1.664,13.948,0.183,-0.183,11.438,0.026,-0.026,13.7368,0.000323,-0.000323,2.1319600000000003,2.13152,0.6439999999999999,0.057453830000000004,0,0,251.36200000000002,14.131,13.765,11.464,11.412,13.737123,13.736477
0,CANDIDATE,1,13.837814,0,0,0,1.96,0,0,0,0.17485949,0,0,0,0.7,0,0,0,253.026,1.664,-1.664,13.948,0.183,-0.183,11.438,0.026,-0.026,13.7368,0.000323,-0.000323,13.837814,13.837814,1.96,0.17485949,0.7,0.7,251.36200000000002,14.131,13.765,11.464,11.412,13.737123,13.736477
1,CANDIDATE,1,13.8394,0.003,-0.0029,0,1.29,0.11,-0.17,0,0.115,0.0098,-0.015,0,0.554,0.016,-0.023,0,253.026,1.664,-1.664,13.948,0.183,-0.183,11.438,0.026,-0.026,13.7368,0.000323,-0.000323,13.8424,13.8365,1.12,0.1,0.5700000000000001,0.531,251.36200000000002,14.131,13.765,11.464,11.412,13.737123,13.736477
1,CANDIDATE,1,7.79983,0.00075,-0.00073,0,1.37,0.15,-0.44,0,0.122,0.013,-0.039,0,0.554,0.016,-0.023,0,253.026,1.664,-1.664,13.948,0.183,-0.183,11.438,0.026,-0.026,13.7368,0.000323,-0.000323,7.80058,7.7991,0.9300000000000002,0.083,0.5700000000000001,0.531,251.36200000000002,14.131,13.765,11.464,11.412,13.737123,13.736477
0,CANDIDATE,1,7.7991586,0,0,0,1.57,0,0,0,0.14006602,0,0,0,0.7,0,0,0,253.026,1.664,-1.664,13.948,0.183,-0.183,11.438,0.026,-0.026,13.7368,0.000323,-0.000323,7.7991586,7.7991586,1.57,0.14006602,0.7,0.7,251.36200000000002,14.131,13.765,11.464,11.412,13.737123,13.736477
